Рыба №	Опыт №	Проба №	Маршрут
2	4	1	ПОООООИЛКА+КЛЛКШХЦЩЗСТ
2	4	2	ПОООИИООИКА+ДСР
2	4	3	ПОМЛЛКЩЦХХЦЩЗСССЖЛМООИИИИИИИИООИЛЛКШЧЦЩКЛЖССССССЖЛМООИЛЛКА-ШХЦЩЗССЗКЩЦХША+КЛЛИООМЛИГ
2	5	1	ПОММММООМКГ+ЩЦЦЦХША+ШХЦЦХХЦЩГККЗСССТСЗГ+ЩЦХША+ККХЦЦХШККШХЦКЛВЖТСЗКЛВГ-ЗСССТ
2	5	2	НОМКГ-ЩЦХШКЛЛКА-ЧЦЩГ-ССЗЩЦХШККЛБЛИИИИИООМККЛЖТЖЛИЩЩИКА-ДСЕЛКШХЦЩКЛВЖСС
2	5	3	ПОМКЛЖЖЛМООИИИИООИЛЛКДСР
2	6	1	НОФЦГ+ЗССССЖЛККМООИКШХФФФФФФФФФФФФФФФФООИКШХЩЩКЛЛЛЛМООИЛЕЕЛККЛЛИООМЛЖЖЛМООИЛЛИООИИИИИЛЕР
2	6	2	ТЖВЛМООИЛБЕР
2	6	3	ПОФЦГ+ЗСЖЛКЩЦЧШДСЕЛИИЛЛИМКГ+КЛЖТ
2	6	4	ПОФХШДССДШХХША+КЛЛКШХХШДССДШХХХКИИИФЦЩЗСЖЛККККМИИФЦЩЗСЖЛККМИИФЦЩЗСЖЛККЛЛМИКДСЕЛИООФЦЩЗССЗЩЦЦЩЗСЖЛЛЖТ
2	7	1	НОООИККЛЛККЛЛККИИККЛББЛИОООООИКШХЦЩЗССЗЩЦХШКЛЛИООООООИЛЛККЛЕССЕЛИИЛЛИИЛЛИООФЦЩЗСТ
2	7	2	НОФЦЦХШДССДШХЦЩГ+ЩЦЦЩЗСЖЛКЗССЗЩЦЦЦХШДССДККШХФФЦЦХХЦЩКЛЛКГ-ЩЦЦЩКЛЖСЗКЛЛМФХША+ККШХХШДССДШХХКЛЛКДСЕЛИИИИКККДССДДССДФ-ШХХШККДССДШХЦЦФООФХХХХХШДССДШХЦЩЗСТ
2	8	1	НОООМММЛЖЖЛМООММФХШККА-ШШДССДА+ДСЕЛКШХФООМЛЛЛКГ+ККШЦФФЦЩЗСТ
2	8	2	НОМКГ+ККЗСТ
2	8	3	ПОФХХЦЩЗЗЩЦХШДСЕЛКА+ККДССДШХЦКЛЖСЗЗСТЖЛКЩЦФФЦЩГ+КЛЛКГ-Г-ЩЦХШДСЕЛИИИМКГ-ЩЦЦГ-ЗСЖВЛКЗСЖВЛКЗССЗГ-ЗСЖЛМООФША-А-ДССДФ-ШХФООФХША-А-ШХХШДСССР
2	8	4	НОООФХШККШХФФФФЦЩГ+ККЗССЗГ-ЩЦЦЩЗССЗГ-КМООФХШЛЕСДА+ШХХШФ-ДДККШХХША-ККШХФФХШКККЛЛИКШХХКА-ККШХЦЩГ-ЗССЗЩЦХХФООМККЛЖСЗГ-ЩЩЗСТ
2	9	1	ПОМЛВЛККЛЛКГ+ККГ-Г-ЗЗГ-ЗСТ
2	9	2	НОФХША+ШХХШДДА-А-ДСССЕЛИООФЦЩГ+ЩЦЦЩГ-Г-Г-КЛЛКГ-ЗССЗЩЦХШДССДА-ШХЦЩГ-ЗСЖВЛМФФФХШКЛБЛККЛБЕР
2	9	3	НОФФФХХФФХШДССДА+ККА-ДССДККА-ДСССЕЛКА-ШХХШШХЦЩКЛЛКГ+ЗСЖЛКГ-ЗЗГ-ЗССЗЩЦХХЦЩЗСЖВЛЛЖССЖЛКГ-Г-ЩЦХША-ДССДККДСР
2	9	4	ПОФФМЛВЛКЗЗГ+ЗССЗЦЦЗССЗЩЦХХФООФХХЦГ-ЗССЗКЛЖТ
2	10	1	НОФХШКЛЛКШХЦЩЗСЖЛККЛВЛМИИИИИИИИИИИМККЛЖЖЛМИКДССДДСЕЛЛБЛИМЛЛКЗСЖЖЖЛМИИЛЕРРССР
2	10	2	НОФФМКЛЛМИЛЛИМКГ+КЛЛКГ-ЗССЗЗКККЛЖЖЛИИИММИКККДССДКЛБЛИМЛЖСССЗГ-ЩЦЦЦХШДССДА+КЛЕСДА-ККККШХХШГ-КЛЛЛЛЛМИКДСЕЛИООФЩЩГ-ЗСТ
2	10	3	ПОФХША+ККА-ДССДА-ШХЦЩГ+КККЛЛКЗСЖЛМООИЛЛКА-ШХЦЦХША-ШХХХША-А-А-ШХЦЩЗСЖЛЛЖТ
2	11	1	ПОИИИИМЛЛКГ+ККГ-Г-ЗЗККЩЦХШДССДА+А-А-ШХХША-ДДА-ДДА-А-ДССДШХФООМКГ-Г-Г-Г-ЗССЗККГ-ЗСТ
2	11	2	НОИКА+ККДССДА-А-А-А-ДДА-ШХФИКДСЕБЛКА-А-ДСЕЛИМЛЖСЗГ+ЗССЗГ-ЗЗККЗСТ
2	11	3	ПОФЦЩКЛЖСССЗГ-ЩЦХШДСЕЛКА+ШХФФХШККА-ДССДА-ДДА-ШХЦЩГ+КММКГ-ЗЗККЗСЖЛКГ-ЩЦХХФООМЛЛККККЛЛМИЛБУСДКЛЛИООИЛЛИООИКДСЕБЛИМККЛЖССТ
2	12	1	НОООИИИККККЛЛККККЛЛИИЛЛИИЛЕСДА+КККЛЕСДА-А-ШХФООИКА-А-А-А-ДССДККА-ШХЦЩЗЗГ+ЗССЗГ-КЛЖСЗКМИИИКА-ШХХША-А-ДСЕЛИМЛМММИЛЕР
